"#","Reference","Qty","Value","Footprint","DNP"
"1","J1","1","In1","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"2","J2","1","Out11","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"3","J3","1","Out12","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"4","J4","1","Out13","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"5","J5","1","In2","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"6","J6","1","Out21","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"7","J7","1","Out22","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"8","J8","1","Out23","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
